逻辑地址：16916, 物理地址：20, 值：0
逻辑地址：62493, 物理地址：285, 值：0
逻辑地址：30198, 物理地址：758, 值：29
逻辑地址：53683, 物理地址：947, 值：108
逻辑地址：40185, 物理地址：1273, 值：0
逻辑地址：28781, 物理地址：1389, 值：0
逻辑地址：24462, 物理地址：1678, 值：23
逻辑地址：48399, 物理地址：1807, 值：67
逻辑地址：64815, 物理地址：2095, 值：75
逻辑地址：18295, 物理地址：2423, 值：-35
逻辑地址：12218, 物理地址：2746, 值：11
逻辑地址：22760, 物理地址：3048, 值：0
逻辑地址：57982, 物理地址：3198, 值：56
逻辑地址：27966, 物理地址：3390, 值：27
逻辑地址：54894, 物理地址：3694, 值：53
逻辑地址：38929, 物理地址：3857, 值：0
逻辑地址：32865, 物理地址：4193, 值：0
逻辑地址：64243, 物理地址：4595, 值：-68
逻辑地址：2315, 物理地址：4619, 值：66
逻辑地址：64454, 物理地址：5062, 值：62
逻辑地址：55041, 物理地址：5121, 值：0
逻辑地址：18633, 物理地址：5577, 值：0
逻辑地址：14557, 物理地址：5853, 值：0
逻辑地址：61006, 物理地址：5966, 值：59
逻辑地址：62615, 物理地址：407, 值：37
逻辑地址：7591, 物理地址：6311, 值：105
逻辑地址：64747, 物理地址：6635, 值：58
逻辑地址：6727, 物理地址：6727, 值：-111
逻辑地址：32315, 物理地址：6971, 值：-114
逻辑地址：60645, 物理地址：7397, 值：0
逻辑地址：6308, 物理地址：7588, 值：0
逻辑地址：45688, 物理地址：7800, 值：0
逻辑地址：969, 物理地址：8137, 值：0
逻辑地址：40891, 物理地址：8379, 值：-18
逻辑地址：49294, 物理地址：8590, 值：48
逻辑地址：41118, 物理地址：8862, 值：40
逻辑地址：21395, 物理地址：9107, 值：-28
逻辑地址：6091, 物理地址：9419, 值：-14
逻辑地址：32541, 物理地址：9501, 值：0
逻辑地址：17665, 物理地址：9729, 值：0
逻辑地址：3784, 物理地址：10184, 值：0
逻辑地址：28718, 物理地址：1326, 值：28
逻辑地址：59240, 物理地址：10344, 值：0
逻辑地址：40178, 物理地址：1266, 值：39
逻辑地址：60086, 物理地址：10678, 值：58
逻辑地址：42252, 物理地址：10764, 值：0
逻辑地址：44770, 物理地址：11234, 值：43
逻辑地址：22514, 物理地址：11506, 值：21
逻辑地址：3067, 物理地址：11771, 值：-2
逻辑地址：15757, 物理地址：11917, 值：0
逻辑地址：31649, 物理地址：12193, 值：0
逻辑地址：10842, 物理地址：12378, 值：10
逻辑地址：43765, 物理地址：12789, 值：0
逻辑地址：33405, 物理地址：12925, 值：0
逻辑地址：44954, 物理地址：13210, 值：43
逻辑地址：56657, 物理地址：13393, 值：0
逻辑地址：5003, 物理地址：13707, 值：-30
逻辑地址：50227, 物理地址：13875, 值：12
逻辑地址：19358, 物理地址：14238, 值：18
逻辑地址：36529, 物理地址：14513, 值：0
逻辑地址：10392, 物理地址：14744, 值：0
逻辑地址：58882, 物理地址：14850, 值：57
逻辑地址：5129, 物理地址：15113, 值：0
逻辑地址：58554, 物理地址：15546, 值：57
逻辑地址：58584, 物理地址：15576, 值：0
逻辑地址：27444, 物理地址：15668, 值：0
逻辑地址：58982, 物理地址：14950, 值：57
逻辑地址：51476, 物理地址：15892, 值：0
逻辑地址：6796, 物理地址：6796, 值：0
逻辑地址：21311, 物理地址：9023, 值：-49
逻辑地址：30705, 物理地址：16369, 值：0
逻辑地址：28964, 物理地址：16420, 值：0
逻辑地址：41003, 物理地址：8747, 值：10
